,y_act,Reason,Attribute_name,Total_val,num of dist_val,% nans,max_val,mean,min_val,std_dev,sample_1,sample_2,sample_3,sample_4,sample_5
12,Usable Directly Categorical,i,year,81106.0,46.0,0.0,2015.0,1993.21139,1970.0,13.20784341,2015,2014,2013,2012,2011
17,Usable Directly Categorical,i,year,81106.0,46.0,0.0,2015.0,1993.21139,1970.0,13.20784341,2015,2014,2013,2012,2011
22,Usable Directly Categorical,i,year,9237.0,46.0,0.0,2015.0,1993.188914,1970.0,13.21347015,2015,2014,2013,2012,2011
27,Usable Directly Categorical,i,year,9234.0,46.0,0.0,2015.0,1993.1906,1970.0,13.21527716,2015,2014,2013,2012,2011
32,Usable Directly Categorical,i,year,72485.0,46.0,0.0,2015.0,1993.34901,1970.0,13.18594276,2015,2014,2013,2012,2011
37,Usable Directly Categorical,i,year,73645.0,46.0,0.0,2015.0,1993.19740599999,1970.0,13.21479825,2015,2014,2013,2012,2011
42,Usable Directly Categorical,i,year,73646.0,46.0,0.0,2015.0,1993.197553,1970.0,13.21476849,2015,2014,2013,2012,2011
47,Usable Directly Categorical,i,year,73646.0,46.0,0.0,2015.0,1993.197553,1970.0,13.21476849,2015,2014,2013,2012,2011
52,Usable Directly Categorical,i,year,9234.0,46.0,0.0,2015.0,1993.1906,1970.0,13.21527716,2015,2014,2013,2012,2011
57,Usable Directly Categorical,i,year,9234.0,46.0,0.0,2015.0,1993.1906,1970.0,13.21527716,2015,2014,2013,2012,2011
112,Usable Directly Categorical,f,value_footnotes,225363.0,223.0,89.54043033,0.0,0.0,0.0,0.0,,1,2,3,4
126,Usable Directly Categorical,f,value_footnotes,223379.0,194.0,89.68972016,0.0,0.0,0.0,0.0,,1,2,3,4
140,Usable Directly Categorical,f,value_footnotes,595971.0,626.0,86.23070586,0.0,0.0,0.0,0.0,,1,2,3,4
147,Usable Directly Categorical,i,year,61626.0,67.0,0.337519878,2016.0,2002.996662,1950.0,10.98303328,2015,2014,2013,2012,2011
160,Usable Directly Categorical,i,fiscal_year,68023.0,67.0,0.2896079267,2016.0,2002.546811,1950.0,11.18339747,2015,2014,2013,2012,2011
188,Usable Directly Categorical,i,year,48269.0,67.0,0.2548219354,2016.0,1996.413845,1950.0,11.91192733,1976,1975,1974,1973,1986
194,Usable Directly Categorical,f,value_footnotes,48269.0,62.0,96.26468334,0.0,0.0,0.0,0.0,,1,2,3,4
201,Usable Directly Categorical,i,year,100048.0,71.0,0.1899088438,2016.0,1995.749655,1946.0,12.52392156,2014,2013,2012,2011,2010
220,Usable Directly Categorical,f,value_footnotes,227092.0,118.0,94.88269072,0.0,0.0,0.0,0.0,,1,2,3,4
245,Usable Directly Categorical,j,Requisition Number,346018.0,5997.0,95.84732586,0.0,0.0,0.0,0.0,REQ0011118,REQ0011932,REQ0011476,,REQ0013911
256,Usable Directly Categorical,f,Item Name,346018.0,180031.0,0.008670069187,0.0,0.0,0.0,0.0,USB,Tire Disposal,Labor,,Toner
257,Usable Directly Categorical,f,Item Description,346018.0,219510.0,0.03670329289,0.0,0.0,0.0,0.0,USB,Tire Disposal,Labor,,Toner
262,Usable Directly Categorical,g,Normalized UNSPSC,346018.0,13553.0,0.2939153454,95141903.0,49321974.01,301817.0,22469633.62,,76121504,44103127,85121615,401728
276,Usable Directly Categorical,f,Con,1518.0,158.0,0.0,0.0,0.0,0.0,0.0,Afghanistan,Afghanistan/Pakistan,Algeria,Angola,Angola/Burundi/Central African Republic/Democratic Republic of Congo/Kenya/Republic of Congo/Rwanda/Sudan/Tanzania/Uganda/Zambia/(African Great Lakes)
280,Usable Directly Categorical,f,Agt,1518.0,1484.0,0.0,0.0,0.0,0.0,0.0,Tokyo Declaration Partnership for Self-Reliance in Afghanistan from Transition to Transformation (Tokyo Conference),Conclusions of the Conference on Afghanistan and the International Community: From Transition to the Transformation Decade (Bonn Conference),Istanbul Process on Regional Security and Cooperation for a Secure and Stable Afghanistan,Renewed Commitment by the Afghan Government to the Afghan People and the International Community to Afghanistan (Kabul Conference Communique),The Resolution Adopted at the Conclusion of the National Consultative Peace Jirga
290,Usable Directly Categorical,a,GCh,1518.0,4.0,0.0,3.0,0.314888011,0.0,0.774887272,1,False,2,3,3
295,Usable Directly Categorical,a,GDis,1518.0,4.0,0.0,3.0,0.152173913,0.0,0.584070393999999,0,3,1,2,0
300,Usable Directly Categorical,a,GAge,1518.0,4.0,0.0,3.0,0.102108037,0.0,0.475467494,0,3,1,2,3
305,Usable Directly Categorical,a,GMig,1518.0,4.0,0.0,3.0,0.0296442689999999,0.0,0.261325808,0,3,2,1,3
310,Usable Directly Categorical,a,GRa,1518.0,4.0,0.0,3.0,0.398550725,0.0,0.856609124,0,1,3,2,0
315,Usable Directly Categorical,a,GRe,1518.0,4.0,0.0,3.0,0.280632411,0.0,0.755502690999999,0,2,1,3,2
320,Usable Directly Categorical,a,GInd,1518.0,4.0,0.0,3.0,0.140974966999999,0.0,0.559874443,0,3,1,2,2
325,Usable Directly Categorical,a,GOth,1518.0,4.0,0.0,3.0,0.057971014,0.0,0.369183972,0,2,3,1,1
330,Usable Directly Categorical,a,GRef,1518.0,4.0,0.0,3.0,0.468379447,0.0,0.879417033,1,False,2,3,3
334,Usable Directly Categorical,a,GSoc,1518.0,4.0,0.0,3.0,0.093544137,0.0,0.443602402,0,2,1,3,0
355,Usable Directly Categorical,a,Pol,1518.0,4.0,0.0,3.0,0.415678524,0.0,0.828791384,0,1,2,3,3
359,Usable Directly Categorical,a,ConRen,1518.0,4.0,0.0,3.0,0.112648220999999,0.0,0.504092052,2,False,1,3,3
360,Usable Directly Categorical,a,Cons,1518.0,4.0,0.0,3.0,0.36627141,0.0,0.879555934,0,3,2,1,2
361,Usable Directly Categorical,a,Ele,1518.0,4.0,0.0,3.0,0.321475626,0.0,0.705297055,2,False,1,3,2
362,Usable Directly Categorical,a,ElecComm,1518.0,4.0,0.0,3.0,0.127140975,0.0,0.487296995,0,1,2,3,3
363,Usable Directly Categorical,a,PolPar,1518.0,4.0,0.0,3.0,0.113306983,0.0,0.44196173,0,1,2,3,0
366,Usable Directly Categorical,a,Pubad,1518.0,4.0,0.0,3.0,0.15942029,0.0,0.477021591,0,1,2,3,2
367,Usable Directly Categorical,a,Polps,1518.0,4.0,0.0,3.0,0.368906456,0.0,0.857967535,0,1,2,3,2
377,Usable Directly Categorical,a,Terps,1518.0,4.0,0.0,3.0,0.295125165,0.0,0.812364887,0,3,1,2,2
382,Usable Directly Categorical,a,Eps,1518.0,4.0,0.0,3.0,0.150197628,0.0,0.582888937,0,3,2,1,3
385,Usable Directly Categorical,a,Mps,1518.0,4.0,0.0,3.0,0.26284585,0.0,0.751863957999999,0,1,2,3,3
390,Usable Directly Categorical,a,EqGen,1518.0,4.0,0.0,3.0,0.265480896,0.0,0.682942559,1,False,2,3,2
391,Usable Directly Categorical,a,HrDem,1518.0,4.0,0.0,3.0,0.364295125,0.0,0.750732973,2,1,0,3,0
393,Usable Directly Categorical,a,HrFra,1518.0,4.0,0.0,3.0,0.426218709,0.0,0.904255965,3,False,1,2,2
423,Usable Directly Categorical,a,HrNi,1518.0,4.0,0.0,3.0,0.12911726,0.0,0.537581698,1,False,2,3,3
427,Usable Directly Categorical,a,HrIi,1518.0,4.0,0.0,3.0,0.0592885379999999,0.0,0.372528333999999,0,3,1,2,1
433,Usable Directly Categorical,a,Med,1518.0,4.0,0.0,3.0,0.492094862,0.0,0.904317392,1,False,2,3,0
438,Usable Directly Categorical,a,HrCit,1518.0,4.0,0.0,3.0,0.212121212,0.0,0.607212344,0,2,1,3,1
455,Usable Directly Categorical,a,Bus,1518.0,4.0,0.0,3.0,0.256916996,0.0,0.67214598,1,False,3,2,1
456,Usable Directly Categorical,a,Tax,1518.0,4.0,0.0,3.0,0.18115942,0.0,0.603667513,1,False,3,2,2
478,Usable Directly Categorical,a,Ce,1518.0,4.0,0.0,3.0,0.876152833,0.0,1.060339249,0,1,2,3,2
481,Usable Directly Categorical,a,SsrPol,1518.0,4.0,0.0,3.0,0.414361001,0.0,0.776111947999999,1,False,2,3,0
482,Usable Directly Categorical,a,SsrArm,1518.0,4.0,0.0,3.0,0.319499341,0.0,0.750073698,1,False,3,2,3
483,Usable Directly Categorical,a,SsrDdr,1518.0,4.0,0.0,3.0,0.496047431,0.0,0.89408696,1,False,2,3,1
486,Usable Directly Categorical,a,SsrInt,1518.0,4.0,0.0,3.0,0.05599473,0.0,0.340735127,0,1,2,3,1
489,Usable Directly Categorical,a,Cor,1518.0,4.0,0.0,3.0,0.134387352,0.0,0.499396856,2,1,0,3,1
490,Usable Directly Categorical,a,SsrCrOcr,1518.0,4.0,0.0,3.0,0.085638999,0.0,0.393346282,2,False,1,3,0
491,Usable Directly Categorical,a,SsrDrugs,1518.0,4.0,0.0,3.0,0.067852437,0.0,0.338573306,2,1,0,3,1
493,Usable Directly Categorical,a,TjGen,1518.0,4.0,0.0,3.0,0.070487484,0.0,0.320015068,0,2,1,3,1
494,Usable Directly Categorical,a,TjAm,1518.0,4.0,0.0,3.0,0.268115942,0.0,0.713079763,0,2,3,1,3
498,Usable Directly Categorical,a,TjCou,1518.0,4.0,0.0,3.0,0.079710145,0.0,0.358737237999999,0,1,2,3,0
501,Usable Directly Categorical,a,TjMech,1518.0,4.0,0.0,3.0,0.146903821,0.0,0.569446284,0,2,3,1,0
502,Usable Directly Categorical,a,TjPrire,1518.0,4.0,0.0,3.0,0.285243741999999,0.0,0.68269088,0,2,1,3,1
503,Usable Directly Categorical,a,TjVet,1518.0,4.0,0.0,3.0,0.018445323,0.0,0.194596861999999,0,2,3,1,0
504,Usable Directly Categorical,a,TjVic,1518.0,4.0,0.0,3.0,0.208827404,0.0,0.590215405,1,False,2,3,2
505,Usable Directly Categorical,a,TjMis,1518.0,4.0,0.0,3.0,0.07312253,0.0,0.374485505,0,1,2,3,2
506,Usable Directly Categorical,a,TjRep,1518.0,4.0,0.0,3.0,0.15942029,0.0,0.516793276,0,1,3,2,2
509,Usable Directly Categorical,a,TjNR,1518.0,4.0,0.0,3.0,0.285243741999999,0.0,0.606013703,1,False,3,2,1
541,Usable Directly Categorical,j,member_id,45583.0,24631.0,0.0,240003395.0,149425402.6,2069.0,80218728.41,2069,625050,1939496,2606806,3438546
553,Usable Directly Categorical,j,organizer_id,602.0,522.0,0.0,237353086.0,110629473.6,8386.0,87387052.83,4353803,118484462,108448302,8111102,184580248
557,Usable Directly Categorical,f,hometown,24591.0,1635.0,79.96421455,0.0,0.0,0.0,0.0,Brentwood,Nashville,,"Huntington, WV",Cookeville
565,Usable Directly Categorical,j,group_id,126813.0,602.0,0.0,26296592.0,11586366.67,47094.0,8092109.674,26140018,25604533,25973656,18571126,18821254
582,Usable Directly Categorical,j,CustomerID,541909.0,4372.0,24.92669433,18287.0,15287.6905699999,12346.0,1713.59819699999,17850,13047,12583,13748,15100
810,Usable Directly Categorical,a,married1,9597.0,10.0,8.335938314,20.0,1.19836307799999,1.0,0.657141877,1,3,2,,4
811,Usable Directly Categorical,a,married2,9597.0,8.0,10.45118266,7.0,1.377589016,0.0,1.008673327,1,3,2,4,
812,Usable Directly Categorical,a,married3,9597.0,8.0,12.82692508,7.0,2.409514702,0.0,1.512202444,1,4,2,3,
813,Usable Directly Categorical,a,married4,9597.0,9.0,16.63019694,9.0,2.775153106,0.0,1.612215138,4,1,2,3,
814,Usable Directly Categorical,a,married5,9597.0,9.0,23.37188705,12.0,3.01930921899999,0.0,1.643889886,1,2,4,3,
815,Usable Directly Categorical,a,married6,9597.0,9.0,32.15588205,17.0,3.097527262,0.0,1.739663075,2,1,4,3,
816,Usable Directly Categorical,a,married7,9597.0,8.0,41.5546525,7.0,3.086111606,0.0,1.836196745,2,1,4,,3
817,Usable Directly Categorical,a,married8,9597.0,10.0,49.94269042,11.0,3.057660283,0.0,1.911392077,2,4,1,,3
954,Usable Directly Categorical,a,married9,9597.0,8.0,72.46014379,7.0,2.390843738,0.0,2.192518012,4,1,2,,3
955,Usable Directly Categorical,a,married10,9597.0,9.0,75.70073981,9.0,2.21526586599999,0.0,2.198543153,4,1,2,,3
956,Usable Directly Categorical,a,married11,9597.0,8.0,78.86839637,7.0,1.93737672599999,0.0,2.141798591,4,1,2,,3
957,Usable Directly Categorical,a,married12,9597.0,8.0,81.2024591,7.0,1.720066519,0.0,2.054095686,3,1,4,,2
958,Usable Directly Categorical,a,married13,9597.0,7.0,82.94258622,7.0,1.532681735,0.0,1.96448328599999,4,1,,2,3
959,Usable Directly Categorical,a,married14,9597.0,7.0,84.58893404,7.0,1.334009466,0.0,1.88854404099999,4,,2,1,3
960,Usable Directly Categorical,a,married15,9597.0,7.0,85.56840679,7.0,1.200722022,0.0,1.85039741599999,1,4,,3,2
961,Usable Directly Categorical,a,married16,9597.0,7.0,95.89455038,7.0,3.395939086,1.0,1.419796138,1,2,,4,3
962,Usable Directly Categorical,a,married17,9597.0,7.0,96.49890591,7.0,3.18452381,0.0,1.514375091,1,2,,4,3
963,Usable Directly Categorical,a,married18,9597.0,7.0,96.99906221,7.0,3.208333333,0.0,1.437952827,4,1,,2,3
964,Usable Directly Categorical,a,married19,9597.0,8.0,97.44711889,7.0,3.212244898,0.0,1.37464394699999,4,1,,2,6
965,Usable Directly Categorical,a,married20,9597.0,6.0,97.94727519,7.0,3.197969543,1.0,1.288920352,4,,2,1,3
1015,Usable Directly Categorical,a,adm1,9597.0,120.0,0.0,0.0,0.0,0.0,0.0,Bam,Ioba,Bougouriba,Boulgou,Boulkiemde
1016,Usable Directly Categorical,a,adm2,9597.0,405.0,0.0,0.0,0.0,0.0,0.0,Tikare,Koper,Tiankoura,Zabre,Sabou
